num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*;
         9; 10.0; 7;  1000;  0.0478;   75.2;   56.4;  5.32e+01;
         0;  0.0; 1;  1000;  5.7832;  100.0;   98.0;  9.41e-06;
         0;  0.0; 3;    15;  0.1291;  100.0;   96.0;  1.06e-39;
         0;  0.0; 7;  1000;  0.0556;   99.6;   99.2;  2.27e+00;
         0;  1.0; 1;   395;  2.0725;   99.6;   99.6;  9.20e+00;
         0;  1.0; 3;    32;  0.2736;   99.6;   99.6;  9.20e+00;
         0;  1.0; 7;  1000;  0.0509;   97.6;   95.2;  2.26e+01;
         0; 10.0; 1;    87;  0.5039;   98.4;   98.4;  2.63e+01;
         0; 10.0; 3;    44;  0.3680;   98.4;   98.4;  2.63e+01;
         0; 10.0; 7;  1000;  0.0506;   68.8;   48.8;  5.03e+01;
